Ticker,Sector,28-Dec-17,1-Jan-18,2-Jan-18,3-Jan-18,4-Jan-18,7-Jan-18,8-Jan-18,9-Jan-18,10-Jan-18,11-Jan-18,14-Jan-18,15-Jan-18,16-Jan-18,17-Jan-18,18-Jan-18,21-Jan-18,22-Jan-18,23-Jan-18,24-Jan-18,25-Jan-18,28-Jan-18,29-Jan-18,30-Jan-18,31-Jan-18,1-Feb-18,4-Feb-18,5-Feb-18,6-Feb-18,7-Feb-18,8-Feb-18,11-Feb-18,12-Feb-18,13-Feb-18,14-Feb-18,15-Feb-18,18-Feb-18,19-Feb-18,20-Feb-18,22-Feb-18,25-Feb-18,26-Feb-18,27-Feb-18,28-Feb-18,1-Mar-18,4-Mar-18,5-Mar-18,6-Mar-18,
ABB1STMF,Mutual Fund,236714326.00,236714326.00,236714326.00,236714326.00,236714326.00,236714326.00,236714326.00,236714326.00,236714326.00,236714326.00,236714326.00,236714326.00,236714326.00,236714326.00,236714326.00,236714326.00,236714326.00,236714326.00,236714326.00,236714326.00,236714326.00,236714326.00,236714326.00,236714326.00,236714326.00,236714326.00,236714326.00,236714326.00,236714326.00,236714326.00,236714326.00,236714326.00,236714326.00,236714326.00,236714326.00,236714326.00,236714326.00,236714326.00,236714326.00,236714326.00,236714326.00,236714326.00,236714326.00,236714326.00,236714326.00,236714326.00,236714326.00,236714326.00
ACI,Pharmaceuticals,47404367.00,47404367.00,47404367.00,47404367.00,47404367.00,47404367.00,47404367.00,47404367.00,47404367.00,47404367.00,47404367.00,47404367.00,47404367.00,47404367.00,47404367.00,47404367.00,47404367.00,47404367.00,47404367.00,47404367.00,47404367.00,47404367.00,47404367.00,47404367.00,47404367.00,47404367.00,47404367.00,47404367.00,47404367.00,47404367.00,47404367.00,47404367.00,47404367.00,47404367.00,47404367.00,47404367.00,47404367.00,47404367.00,47404367.00,47404367.00,47404367.00,47404367.00,47404367.00,47404367.00,47404367.00,47404367.00,47404367.00,47404367.00
ACIFORMULA,Pharmaceuticals,45000000.00,45000000.00,45000000.00,45000000.00,45000000.00,45000000.00,45000000.00,45000000.00,45000000.00,45000000.00,45000000.00,45000000.00,45000000.00,45000000.00,45000000.00,45000000.00,45000000.00,45000000.00,45000000.00,45000000.00,45000000.00,45000000.00,45000000.00,45000000.00,45000000.00,45000000.00,45000000.00,45000000.00,45000000.00,45000000.00,45000000.00,45000000.00,45000000.00,45000000.00,45000000.00,45000000.00,45000000.00,45000000.00,45000000.00,45000000.00,45000000.00,45000000.00,45000000.00,45000000.00,45000000.00,45000000.00,45000000.00,45000000.00
ACIZCBOND,Corp. Bond,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ACTIVEFINE,Pharmaceuticals,199947150.00,199947150.00,199947150.00,199947150.00,199947150.00,199947150.00,199947150.00,199947150.00,199947150.00,199947150.00,199947150.00,199947150.00,199947150.00,199947150.00,199947150.00,199947150.00,199947150.00,199947150.00,199947150.00,199947150.00,199947150.00,199947150.00,199947150.00,199947150.00,199947150.00,199947150.00,199947150.00,199947150.00,199947150.00,199947150.00,199947150.00,199947150.00,199947150.00,199947150.00,199947150.00,199947150.00,199947150.00,199947150.00,199947150.00,199947150.00,199947150.00,199947150.00,199947150.00,199947150.00,199947150.00,199947150.00,199947150.00,199947150.00
AFCAGRO,Pharmaceuticals,91080000.00,91080000.00,91080000.00,91080000.00,91080000.00,91080000.00,91080000.00,91080000.00,91080000.00,91080000.00,91080000.00,91080000.00,91080000.00,91080000.00,91080000.00,91080000.00,91080000.00,91080000.00,91080000.00,91080000.00,91080000.00,91080000.00,91080000.00,91080000.00,91080000.00,91080000.00,91080000.00,91080000.00,91080000.00,91080000.00,91080000.00,91080000.00,91080000.00,91080000.00,91080000.00,91080000.00,91080000.00,91080000.00,91080000.00,91080000.00,91080000.00,91080000.00,91080000.00,91080000.00,91080000.00,91080000.00,91080000.00,91080000.00
AFTABAUTO,Industrial,95732423.00,95732423.00,95732423.00,95732423.00,95732423.00,95732423.00,95732423.00,95732423.00,95732423.00,95732423.00,95732423.00,95732423.00,95732423.00,95732423.00,95732423.00,95732423.00,95732423.00,95732423.00,95732423.00,95732423.00,95732423.00,95732423.00,95732423.00,95732423.00,95732423.00,95732423.00,95732423.00,95732423.00,95732423.00,95732423.00,95732423.00,95732423.00,95732423.00,95732423.00,95732423.00,95732423.00,95732423.00,95732423.00,95732423.00,95732423.00,95732423.00,95732423.00,95732423.00,95732423.00,95732423.00,95732423.00,95732423.00,95732423.00
AGNISYSL,IT,76011253.00,76011253.00,76011253.00,76011253.00,76011253.00,76011253.00,76011253.00,76011253.00,76011253.00,76011253.00,76011253.00,76011253.00,76011253.00,76011253.00,76011253.00,76011253.00,76011253.00,76011253.00,76011253.00,76011253.00,76011253.00,76011253.00,76011253.00,76011253.00,76011253.00,76011253.00,76011253.00,76011253.00,76011253.00,76011253.00,76011253.00,76011253.00,76011253.00,76011253.00,76011253.00,76011253.00,76011253.00,76011253.00,76011253.00,76011253.00,76011253.00,76011253.00,76011253.00,76011253.00,76011253.00,76011253.00,76011253.00,76011253.00
AGRANINS,General Insurance,24938930.00,24938930.00,24938930.00,24938930.00,24938930.00,24938930.00,24938930.00,24938930.00,24938930.00,24938930.00,24938930.00,24938930.00,24938930.00,24938930.00,24938930.00,24938930.00,24938930.00,24938930.00,24938930.00,24938930.00,24938930.00,24938930.00,24938930.00,24938930.00,24938930.00,24938930.00,24938930.00,24938930.00,24938930.00,24938930.00,24938930.00,24938930.00,24938930.00,24938930.00,24938930.00,24938930.00,24938930.00,24938930.00,24938930.00,24938930.00,24938930.00,24938930.00,24938930.00,24938930.00,24938930.00,24938930.00,24938930.00,24938930.00
AIBL1STIMF,Mutual Fund,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00,100000000.00
AIMS1STMF,Mutual Fund,89995570.00,89995570.00,89995570.00,89995570.00,89995570.00,89995570.00,89995570.00,89995570.00,89995570.00,89995570.00,89995570.00,89995570.00,89995570.00,89995570.00,89995570.00,89995570.00,89995570.00,89995570.00,89995570.00,89995570.00,89995570.00,89995570.00,89995570.00,89995570.00,89995570.00,89995570.00,89995570.00,89995570.00,89995570.00,89995570.00,89995570.00,89995570.00,89995570.00,89995570.00,89995570.00,89995570.00,89995570.00,89995570.00,89995570.00,89995570.00,89995570.00,89995570.00,89995570.00,89995570.00,89995570.00,89995570.00,89995570.00,89995570.00
AL-HAJTEX,Textile,20271417.00,20271417.00,20271417.00,20271417.00,20271417.00,20271417.00,20271417.00,20271417.00,20271417.00,20271417.00,20271417.00,20271417.00,20271417.00,20271417.00,20271417.00,20271417.00,20271417.00,20271417.00,20271417.00,20271417.00,20271417.00,20271417.00,20271417.00,20271417.00,20271417.00,20271417.00,20271417.00,20271417.00,20271417.00,20271417.00,20271417.00,20271417.00,20271417.00,20271417.00,20271417.00,20271417.00,20271417.00,20271417.00,20271417.00,20271417.00,20271417.00,20271417.00,20271417.00,20271417.00,20271417.00,20271417.00,20271417.00,20271417.00
ALARABANK,Bank,994306442.00,994306442.00,994306442.00,994306442.00,994306442.00,994306442.00,994306442.00,994306442.00,994306442.00,994306442.00,994306442.00,994306442.00,994306442.00,994306442.00,994306442.00,994306442.00,994306442.00,994306442.00,994306442.00,994306442.00,994306442.00,994306442.00,994306442.00,994306442.00,994306442.00,994306442.00,994306442.00,994306442.00,994306442.00,994306442.00,994306442.00,994306442.00,994306442.00,994306442.00,994306442.00,994306442.00,994306442.00,994306442.00,994306442.00,994306442.00,994306442.00,994306442.00,994306442.00,994306442.00,994306442.00,994306442.00,994306442.00,994306442.00
ALLTEX,Textile,55968000.00,55968000.00,55968000.00,55968000.00,55968000.00,55968000.00,55968000.00,55968000.00,55968000.00,55968000.00,55968000.00,55968000.00,55968000.00,55968000.00,55968000.00,55968000.00,55968000.00,55968000.00,55968000.00,55968000.00,55968000.00,55968000.00,55968000.00,55968000.00,55968000.00,55968000.00,55968000.00,55968000.00,55968000.00,55968000.00,55968000.00,55968000.00,55968000.00,55968000.00,55968000.00,55968000.00,55968000.00,55968000.00,55968000.00,55968000.00,55968000.00,55968000.00,55968000.00,55968000.00,55968000.00,55968000.00,55968000.00,55968000.00
ALPHATOBA,Foods & Allied,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AMBEEPHA,Pharmaceuticals,2400000.00,2400000.00,2400000.00,2400000.00,2400000.00,2400000.00,2400000.00,2400000.00,2400000.00,2400000.00,2400000.00,2400000.00,2400000.00,2400000.00,2400000.00,2400000.00,2400000.00,2400000.00,2400000.00,2400000.00,2400000.00,2400000.00,2400000.00,2400000.00,2400000.00,2400000.00,2400000.00,2400000.00,2400000.00,2400000.00,2400000.00,2400000.00,2400000.00,2400000.00,2400000.00,2400000.00,2400000.00,2400000.00,2400000.00,2400000.00,2400000.00,2400000.00,2400000.00,2400000.00,2400000.00,2400000.00,2400000.00,2400000.00
AMCL(PRAN),Foods & Allied,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00,8000000.00
ANLIMAYARN,Textile,17867800.00,17867800.00,17867800.00,17867800.00,17867800.00,17867800.00,17867800.00,17867800.00,17867800.00,17867800.00,17867800.00,17867800.00,17867800.00,17867800.00,17867800.00,17867800.00,17867800.00,17867800.00,17867800.00,17867800.00,17867800.00,17867800.00,17867800.00,17867800.00,17867800.00,17867800.00,17867800.00,17867800.00,17867800.00,17867800.00,17867800.00,17867800.00,17867800.00,17867800.00,17867800.00,17867800.00,17867800.00,17867800.00,17867800.00,17867800.00,17867800.00,17867800.00,17867800.00,17867800.00,17867800.00,17867800.00,17867800.00,17867800.00
ANWARGALV,Industrial,14520000.00,14520000.00,14520000.00,14520000.00,14520000.00,14520000.00,14520000.00,14520000.00,14520000.00,14520000.00,14520000.00,14520000.00,14520000.00,14520000.00,14520000.00,14520000.00,14520000.00,14520000.00,14520000.00,14520000.00,14520000.00,14520000.00,14520000.00,14520000.00,14520000.00,14520000.00,14520000.00,14520000.00,14520000.00,14520000.00,14520000.00,14520000.00,14520000.00,14520000.00,14520000.00,14520000.00,14520000.00,14520000.00,14520000.00,14520000.00,14520000.00,14520000.00,14520000.00,14520000.00,14520000.00,14520000.00,14520000.00,14520000.00
APEXFOOT,Tannery,11250000.00,11250000.00,11250000.00,11250000.00,11250000.00,11250000.00,11250000.00,11250000.00,11250000.00,11250000.00,11250000.00,11250000.00,11250000.00,11250000.00,11250000.00,11250000.00,11250000.00,11250000.00,11250000.00,11250000.00,11250000.00,11250000.00,11250000.00,11250000.00,11250000.00,11250000.00,11250000.00,11250000.00,11250000.00,11250000.00,11250000.00,11250000.00,11250000.00,11250000.00,11250000.00,11250000.00,11250000.00,11250000.00,11250000.00,11250000.00,11250000.00,11250000.00,11250000.00,11250000.00,11250000.00,11250000.00,11250000.00,11250000.00
APEXFOODS,Foods & Allied,5702400.00,5702400.00,5702400.00,5702400.00,5702400.00,5702400.00,5702400.00,5702400.00,5702400.00,5702400.00,5702400.00,5702400.00,5702400.00,5702400.00,5702400.00,5702400.00,5702400.00,5702400.00,5702400.00,5702400.00,5702400.00,5702400.00,5702400.00,5702400.00,5702400.00,5702400.00,5702400.00,5702400.00,5702400.00,5702400.00,5702400.00,5702400.00,5702400.00,5702400.00,5702400.00,5702400.00,5702400.00,5702400.00,5702400.00,5702400.00,5702400.00,5702400.00,5702400.00,5702400.00,5702400.00,5702400.00,5702400.00,5702400.00
APEXSPINN,Textile,8400000.00,8400000.00,8400000.00,8400000.00,8400000.00,8400000.00,8400000.00,8400000.00,8400000.00,8400000.00,8400000.00,8400000.00,8400000.00,8400000.00,8400000.00,8400000.00,8400000.00,8400000.00,8400000.00,8400000.00,8400000.00,8400000.00,8400000.00,8400000.00,8400000.00,8400000.00,8400000.00,8400000.00,8400000.00,8400000.00,8400000.00,8400000.00,8400000.00,8400000.00,8400000.00,8400000.00,8400000.00,8400000.00,8400000.00,8400000.00,8400000.00,8400000.00,8400000.00,8400000.00,8400000.00,8400000.00,8400000.00,8400000.00
APEXTANRY,Tannery,15240000.00,15240000.00,15240000.00,15240000.00,15240000.00,15240000.00,15240000.00,15240000.00,15240000.00,15240000.00,15240000.00,15240000.00,15240000.00,15240000.00,15240000.00,15240000.00,15240000.00,15240000.00,15240000.00,15240000.00,15240000.00,15240000.00,15240000.00,15240000.00,15240000.00,15240000.00,15240000.00,15240000.00,15240000.00,15240000.00,15240000.00,15240000.00,15240000.00,15240000.00,15240000.00,15240000.00,15240000.00,15240000.00,15240000.00,15240000.00,15240000.00,15240000.00,15240000.00,15240000.00,15240000.00,15240000.00,15240000.00,15240000.00
APEXWEAV,Textile,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
APOLOISPAT,Industrial,389620000.00,389620000.00,389620000.00,389620000.00,389620000.00,389620000.00,389620000.00,389620000.00,389620000.00,389620000.00,389620000.00,389620000.00,389620000.00,389620000.00,389620000.00,389620000.00,389620000.00,389620000.00,389620000.00,389620000.00,389620000.00,389620000.00,389620000.00,389620000.00,389620000.00,389620000.00,389620000.00,389620000.00,389620000.00,389620000.00,389620000.00,389620000.00,389620000.00,389620000.00,389620000.00,389620000.00,389620000.00,389620000.00,389620000.00,389620000.00,389620000.00,389620000.00,389620000.00,389620000.00,389620000.00,389620000.00,389620000.00,389620000.00
ARAMIT,Industrial,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00,6000000.00
ARAMITCEM,Cement,33880000.00,33880000.00,33880000.00,33880000.00,33880000.00,33880000.00,33880000.00,33880000.00,33880000.00,33880000.00,33880000.00,33880000.00,33880000.00,33880000.00,33880000.00,33880000.00,33880000.00,33880000.00,33880000.00,33880000.00,33880000.00,33880000.00,33880000.00,33880000.00,33880000.00,33880000.00,33880000.00,33880000.00,33880000.00,33880000.00,33880000.00,33880000.00,33880000.00,33880000.00,33880000.00,33880000.00,33880000.00,33880000.00,33880000.00,33880000.00,33880000.00,33880000.00,33880000.00,33880000.00,33880000.00,33880000.00,33880000.00,33880000.00
ARGONDENIM,Textile,119977200.00,119977200.00,119977200.00,119977200.00,119977200.00,119977200.00,119977200.00,119977200.00,119977200.00,119977200.00,119977200.00,119977200.00,119977200.00,119977200.00,119977200.00,119977200.00,119977200.00,119977200.00,119977200.00,119977200.00,119977200.00,119977200.00,119977200.00,119977200.00,119977200.00,119977200.00,119977200.00,119977200.00,119977200.00,119977200.00,119977200.00,119977200.00,119977200.00,119977200.00,119977200.00,119977200.00,119977200.00,119977200.00,119977200.00,119977200.00,119977200.00,119977200.00,119977200.00,119977200.00,119977200.00,119977200.00,119977200.00,119977200.00
ASIAINS,General Insurance,47069859.00,47069859.00,47069859.00,47069859.00,47069859.00,47069859.00,47069859.00,47069859.00,47069859.00,47069859.00,47069859.00,47069859.00,47069859.00,47069859.00,47069859.00,47069859.00,47069859.00,47069859.00,47069859.00,47069859.00,47069859.00,47069859.00,47069859.00,47069859.00,47069859.00,47069859.00,47069859.00,47069859.00,47069859.00,47069859.00,47069859.00,47069859.00,47069859.00,47069859.00,47069859.00,47069859.00,47069859.00,47069859.00,47069859.00,47069859.00,47069859.00,47069859.00,47069859.00,47069859.00,47069859.00,47069859.00,47069859.00,47069859.00
ASIAPACINS,General Insurance,42350000.00,42350000.00,42350000.00,42350000.00,42350000.00,42350000.00,42350000.00,42350000.00,42350000.00,42350000.00,42350000.00,42350000.00,42350000.00,42350000.00,42350000.00,42350000.00,42350000.00,42350000.00,42350000.00,42350000.00,42350000.00,42350000.00,42350000.00,42350000.00,42350000.00,42350000.00,42350000.00,42350000.00,42350000.00,42350000.00,42350000.00,42350000.00,42350000.00,42350000.00,42350000.00,42350000.00,42350000.00,42350000.00,42350000.00,42350000.00,42350000.00,42350000.00,42350000.00,42350000.00,42350000.00,42350000.00,42350000.00,42350000.00
ATCSLGF,Mutual Fund,61786051.00,61786051.00,61786051.00,61786051.00,61786051.00,61786051.00,61786051.00,61786051.00,61786051.00,61786051.00,61786051.00,61786051.00,61786051.00,61786051.00,61786051.00,61786051.00,61786051.00,61786051.00,61786051.00,61786051.00,61786051.00,61786051.00,61786051.00,61786051.00,61786051.00,61786051.00,61786051.00,61786051.00,61786051.00,61786051.00,61786051.00,61786051.00,61786051.00,61786051.00,61786051.00,61786051.00,61786051.00,61786051.00,61786051.00,61786051.00,61786051.00,61786051.00,61786051.00,61786051.00,61786051.00,61786051.00,61786051.00,61786051.00
ATLASBANG,Industrial,30115555.00,30115555.00,30115555.00,30115555.00,30115555.00,30115555.00,30115555.00,30115555.00,30115555.00,30115555.00,30115555.00,30115555.00,30115555.00,30115555.00,30115555.00,30115555.00,30115555.00,30115555.00,30115555.00,30115555.00,30115555.00,30115555.00,30115555.00,30115555.00,30115555.00,30115555.00,30115555.00,30115555.00,30115555.00,30115555.00,30115555.00,30115555.00,30115555.00,30115555.00,30115555.00,30115555.00,30115555.00,30115555.00,30115555.00,30115555.00,30115555.00,30115555.00,30115555.00,30115555.00,30115555.00,30115555.00,30115555.00,30115555.00
